target,source,transition,intent
advice,root,get_advice,ask_advice
advice,root,get_advice,instruct_give_advice
advice,advice,update_advice,correct_misspoke
advice,advice,update_advice,correct_misheard
advice,advice,update_advice,change_advice
balance,root,get_balance,ask_balance_specific_date
balance,root,get_balance,ask_balance
balance,root,get_balance,instruct_give_balance
balance,balance,update_balance,ask_balance_specific_date
balance,balance,update_balance,correct_misspoke
balance,balance,update_balance,correct_misheard
goodbye,root,say_goodbye,goodbye
goodbye,root,say_goodbye,logoff
hello,root,say_hello,hello
history,root,get_history,history_category
history,root,get_history,history_date_range
history,root,get_history,history_complex
history,transactions,switch_to_history,wanted_general_not_specific
history,transactions,switch_to_history,too_verbose
history,history,update_history,change_range
history,history,update_history,change_category
transactions,root,get_transactions,ask_transactions_date
transactions,root,get_transactions,ask_transactions_category
transactions,root,get_transactions,ask_transactions_complex
transactions,root,get_transactions,instruct_give_transactions
transactions,transactions,update_transactions,correct_mispoke
transactions,transactions,update_transactions,correct_misheard
transactions,history,switch_to_transactions,wanted_specific
