|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
0|Show|me|my|spending|history|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1|can|you|show|me|how|much|i|spent|on|online|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2|i|was|in|Berlin|last|month|can|you|show|me|my|entire|spending|history|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3|I|feel|like|'ve|been|spending|way|too|much|dough|at|GAP|can|you|show|me|what|that|looks|0.0|0.0|0.0|0.0|0.0|0.0
4|Show|me|my|spending|history|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5|can|you|show|me|how|much|i|spent|on|gardening|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6|Can|you|show|me|how|much|I|spent|on|coffee|shops|last|month|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7|Can|you|show|me|how|much|I|spent|on|my|trip|to|Mexico|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8|Show|me|my|total|spending|on|restaurant|so|far|this|year|.|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9|Show|me|how|much|I|'ve|spent|on|Toys|R|US|since|February|.|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10|How|much|did|I|spend|at|Nordstrom|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11|What|was|my|spending|like|during|trip|to|VA|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12|Please|bring|up|the|spending|I|made|on|store|at|Smashburger|21st|october|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13|Show|me|my|spending|history|for|food|and|drink|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14|Hey|I|was|wondering|how|much|i|spent|on|church|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15|How|much|I|have|spent|on|car|so|far|this|year|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16|How|much|money|did|I|spend|on|game|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
17|What|is|my|spending|on|restauraunts|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
18|What|is|my|monthly|spending|on|electronics|store|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19|Check|my|spending|on|Tops|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
20|What|is|my|deliveries|expense|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
21|Please|show|my|Macy|'s|receipts|history|.|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
22|I|spent|way|too|much|money|on|fast|food|right|?|can|you|check|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
23|Check|my|spending|on|stationary|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
24|What|is|my|spending|on|football|game|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
25|Can|you|show|me|how|much|I|'ve|spent|sports|out|this|month|so|far|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
26|Can|you|show|me|how|much|I|spent|on|cleaning|supplies|last|month|?|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
